Shape Factor,Solidity,Aspect Ratio,Extent,nu02,nu03,nu11,nu12,nu20,nu21,nu30,Hull defects,Line,Gesture
0.011688433381404854,0.5975650799689782,0.8477366255144033,0.40789683966598744,0.15537347318986724,-0.027589523730253095,0.005763441727574438,-0.004838978400638053,0.07585752766391145,-0.003931166490415698,0.003655361975360719,5,0,5
0.011585673866913955,0.5931920378480512,0.8589211618257261,0.405907350612384,0.1545949018731349,-0.028880741979185907,0.004950813072428683,-0.004171532793065942,0.0769113272117692,-0.003390731428884446,0.003920465323072215,5,0,5
0.011620558980880763,0.5906621317195989,0.8625,0.403743961352657,0.15513248235614127,-0.029429436734873925,0.00457710803947596,-0.004175405114133479,0.07680525147186841,-0.003212190757023445,0.003971203689735111,5,0,5
0.011757614344889993,0.6037269967610277,0.8333333333333334,0.41211580408487014,0.15698996824433537,-0.03049834729672785,0.0017985365808653201,-0.0024677725379019873,0.07528016079131972,-0.0019439045228650256,0.004490105092319479,5,0,5
0.011694231589029524,0.61983157177845,0.7868217054263565,0.4518081490816054,0.15637468294096876,-0.029044081390125095,0.006335877088178215,-0.004307590965262065,0.074051735044605,-0.0024270275236984735,0.004380697787473217,4,0,5
0.011748231064075066,0.6057825294724595,0.7205387205387206,0.43415463041631264,0.17316108487333245,-0.023285641308263477,-0.004244545643407803,-0.006967830784217228,0.06511475057587367,-0.003752062102439614,0.004768260453000163,5,0,5
0.011606097188663194,0.6067508556591527,0.7931034482758621,0.42820256538397466,0.15784776673381679,-0.02714349229567906,0.006207273598501528,-0.005166488101938799,0.07293235948454381,-0.003865476318033625,0.003754821470073635,5,0,5
0.011725645232750947,0.6136048275194423,0.8285714285714286,0.43907789408866993,0.15638046387529167,-0.030248715763432507,0.008078903141669645,-0.003257937845118362,0.07722248967781485,-0.0019527203940126314,0.004022801549618851,5,0,5
0.011582886360355179,0.5935755076142132,0.768595041322314,0.4156558251133031,0.1633595963005398,-0.024530701521549216,0.0014163082079922142,-0.00615335355460549,0.06922729909248343,-0.004553929644722142,0.004289469918983656,5,0,5
0.011790643290676157,0.6038353189741182,0.7975708502024291,0.422891962432438,0.15942102634767336,-0.026467914338754155,0.005037249348518341,-0.005452031567088809,0.0721403142044513,-0.003888044004311381,0.004073163237187041,5,0,5
0.01176213726166628,0.6166327378729658,0.7402135231316725,0.4379191760197098,0.16911320544547848,-0.023274435036433845,0.0042669573071278675,-0.007868933192877294,0.06588085314858115,-0.004057033131320604,0.004220100112669379,5,0,5
0.011712576075621534,0.6115743183817063,0.7581227436823105,0.4482723053120165,0.1646229105419035,-0.028247098188104686,-0.008837535847332538,-0.0031992856128425446,0.07057428459919647,-0.0009503845183782262,0.005727985205127706,5,0,5
0.011744077892909837,0.593854415274463,0.8125,0.46729454627403844,0.15397055435014373,-0.02920785548017071,-0.016050325634726723,0.0015959516262377556,0.08044451871673797,-0.00020713511773548304,0.00604040190800109,5,0,5
0.010787957312530537,0.5759915875258782,0.928030303030303,0.4064935064935065,0.15455164647466105,-0.03202441777623457,0.009150067622589164,-0.0017172600443892763,0.08623880872141348,-0.0013228558525474896,0.0042121908733693016,5,0,5
0.01176661232344688,0.5739045040741035,0.86,0.40228837209302326,0.15806383777444438,-0.029436885754652777,0.0009314204251151215,-0.004066924262437417,0.07651911935135838,-0.002577974799119867,0.00469766384968519,5,0,5
0.011667283771712054,0.5734989130706379,0.8858267716535433,0.4016097987751531,0.1554624016861692,-0.03032584750769001,0.005667291946876487,-0.0037237758299348083,0.07983414631688147,-0.0026340276864855075,0.00441675548777529,5,0,5
0.011667151307929833,0.5709509564867651,0.8928571428571429,0.4005820105820106,0.15470002251691894,-0.03075890648148351,0.0054072490004462665,-0.003463136880569878,0.08047421936279786,-0.002478118723148435,0.004513077028076423,5,0,5
0.01167462493300813,0.5710131792606019,0.8928571428571429,0.400026455026455,0.15517951369682437,-0.031057570133307903,0.005364665536277271,-0.003520320044422855,0.08037354552286434,-0.0023842183689523383,0.004561785971855869,5,0,5
0.011596197677968316,0.569963508242104,0.8928571428571429,0.3994268077601411,0.15479470351133304,-0.0313007777094034,0.006157230588931083,-0.0034994657191287125,0.08099607689778959,-0.002350135936484322,0.004566554643573927,5,0,5
0.01159483317700039,0.5701779653587487,0.8968253968253969,0.39969623542632393,0.1547561827053269,-0.03135130367783228,0.006182622878854674,-0.003446005976143577,0.08108705114884743,-0.0023193467098399255,0.004549697319385394,5,0,5
0.011605969487362788,0.5719549919276321,0.9051383399209486,0.40051262578317826,0.15374299821412277,-0.03131546381034141,0.0072115758050362725,-0.0032603813191534677,0.08210100681175041,-0.0022416478526360657,0.004469681320888679,5,0,5
0.011712200996707922,0.5752310581120297,0.9169960474308301,0.4018757666621235,0.15341872639615445,-0.03091183019330316,0.008145635941465841,-0.00295265709447452,0.08253107273939722,-0.0021107043616619835,0.004226712658463816,5,0,5
0.011218870735082133,0.5689811075075655,0.9288537549407114,0.3968799932722227,0.15314517002611702,-0.031952338896380515,0.009411333685113984,-0.0027973119688927354,0.08486582690036713,-0.002012717793416758,0.004473806599485558,5,0,5
0.011600165734076965,0.5733361643900252,0.9333333333333333,0.40042840665678037,0.15228095284420026,-0.03192008434042707,0.010429622263518267,-0.002621470057440488,0.0857068933705968,-0.0018332625716756955,0.004161103529551003,5,0,5
0.011585083433929604,0.5730573976136351,0.9372549019607843,0.39914677167938306,0.15170717939616454,-0.031900104527979124,0.011061351258157956,-0.0027208212947120894,0.08627524339180108,-0.001770626393147549,0.004179487916902102,5,0,5
0.011629544850854361,0.5751863013058612,0.9450980392156862,0.4006508827597429,0.15151500114457772,-0.031596228826206774,0.011407189090548917,-0.0024680770572769236,0.08662895901204001,-0.0015934937593537898,0.004058636950319964,5,0,5
0.0325268473680745,0.8222852034314192,0.5779467680608364,0.540699419651791,0.13873470182020314,-0.02657564762257312,-0.03205381072332331,0.009706235919189662,0.06453261726043763,-0.0003375329273275284,-0.0028122920459772685,2,0,1
